Data Zone,Local Authority Code,Local Authority Name,Employment domain 2012 rank,Employment domain 2012 rate (%)
S01000001,100,Aberdeen City,4518,7
S01000002,100,Aberdeen City,6106,3
S01000003,100,Aberdeen City,6340,2
S01000004,100,Aberdeen City,6403,2
S01000005,100,Aberdeen City,5918,4
S01000006,100,Aberdeen City,4030,8
S01000007,100,Aberdeen City,5706,4
S01000008,100,Aberdeen City,3978,9
S01000009,100,Aberdeen City,5192,5
S01000010,100,Aberdeen City,5750,4
S01000011,100,Aberdeen City,6494,1
S01000012,100,Aberdeen City,6255,3
S01000013,100,Aberdeen City,5046,6
S01000014,100,Aberdeen City,5522,5
S01000015,100,Aberdeen City,6231,3
S01000016,100,Aberdeen City,6495,1
S01000017,100,Aberdeen City,4930,6
S01000018,100,Aberdeen City,4261,8
S01000019,100,Aberdeen City,6270,3
S01000020,100,Aberdeen City,3141,11
S01000021,100,Aberdeen City,3897,9
S01000022,100,Aberdeen City,6449,2
S01000023,100,Aberdeen City,6469,1
S01000024,100,Aberdeen City,6488,1
S01000025,100,Aberdeen City,6195,3
S01000026,100,Aberdeen City,1248,21
S01000027,100,Aberdeen City,5539,5
S01000028,100,Aberdeen City,2224,15
S01000029,100,Aberdeen City,6499,0
S01000030,100,Aberdeen City,2327,15
S01000031,100,Aberdeen City,6245,3
S01000032,100,Aberdeen City,3089,12
S01000033,100,Aberdeen City,1860,17
S01000034,100,Aberdeen City,6496,1
S01000035,100,Aberdeen City,3691,9
S01000036,100,Aberdeen City,2211,15
S01000037,100,Aberdeen City,2934,12
S01000038,100,Aberdeen City,3414,10
S01000039,100,Aberdeen City,3155,11
S01000040,100,Aberdeen City,2849,13
S01000041,100,Aberdeen City,3627,10
S01000042,100,Aberdeen City,2465,14
S01000043,100,Aberdeen City,4628,7
S01000044,100,Aberdeen City,2031,16
S01000045,100,Aberdeen City,6436,2
S01000046,100,Aberdeen City,6454,1
S01000047,100,Aberdeen City,3768,9
S01000048,100,Aberdeen City,6404,2
S01000049,100,Aberdeen City,6408,2
S01000050,100,Aberdeen City,5633,4
S01000051,100,Aberdeen City,6369,2
S01000052,100,Aberdeen City,1272,21
S01000053,100,Aberdeen City,5902,4
S01000054,100,Aberdeen City,6479,1
S01000055,100,Aberdeen City,1396,20
S01000056,100,Aberdeen City,5987,4
S01000057,100,Aberdeen City,1197,22
S01000058,100,Aberdeen City,6210,3
S01000059,100,Aberdeen City,6267,3
S01000060,100,Aberdeen City,269,32
S01000061,100,Aberdeen City,6385,2
S01000062,100,Aberdeen City,6146,3
S01000063,100,Aberdeen City,6317,2
S01000064,100,Aberdeen City,4162,8
S01000065,100,Aberdeen City,3893,9
S01000066,100,Aberdeen City,2352,15
S01000067,100,Aberdeen City,5401,5
S01000068,100,Aberdeen City,6324,2
S01000069,100,Aberdeen City,1647,19
S01000070,100,Aberdeen City,2075,16
S01000071,100,Aberdeen City,1404,20
S01000072,100,Aberdeen City,4037,8
S01000073,100,Aberdeen City,6042,3
S01000074,100,Aberdeen City,789,25
S01000075,100,Aberdeen City,5512,5
S01000076,100,Aberdeen City,6355,2
S01000077,100,Aberdeen City,5469,5
S01000078,100,Aberdeen City,1964,17
S01000079,100,Aberdeen City,6444,2
S01000080,100,Aberdeen City,5874,4
S01000081,100,Aberdeen City,6392,2
S01000082,100,Aberdeen City,2138,16
S01000083,100,Aberdeen City,6209,3
S01000084,100,Aberdeen City,1420,20
S01000085,100,Aberdeen City,4453,7
S01000086,100,Aberdeen City,6271,3
S01000087,100,Aberdeen City,6453,1
S01000088,100,Aberdeen City,5916,4
S01000089,100,Aberdeen City,6474,1
S01000090,100,Aberdeen City,6428,2
S01000091,100,Aberdeen City,4699,7
S01000092,100,Aberdeen City,5887,4
S01000093,100,Aberdeen City,4063,8
S01000094,100,Aberdeen City,5802,4
S01000095,100,Aberdeen City,6281,3
S01000096,100,Aberdeen City,1309,21
S01000097,100,Aberdeen City,6489,1
S01000098,100,Aberdeen City,2207,15
S01000099,100,Aberdeen City,6411,2
S01000100,100,Aberdeen City,3678,9
S01000101,100,Aberdeen City,6387,2
S01000102,100,Aberdeen City,1822,18
S01000103,100,Aberdeen City,6466,1
S01000104,100,Aberdeen City,6484,1
S01000105,100,Aberdeen City,5875,4
S01000106,100,Aberdeen City,6482,1
S01000107,100,Aberdeen City,3806,9
S01000108,100,Aberdeen City,3020,12
S01000109,100,Aberdeen City,4055,8
S01000110,100,Aberdeen City,4941,6
S01000111,100,Aberdeen City,5988,4
S01000112,100,Aberdeen City,3143,11
S01000113,100,Aberdeen City,6363,2
S01000114,100,Aberdeen City,2239,15
S01000115,100,Aberdeen City,2225,15
S01000116,100,Aberdeen City,6171,3
S01000117,100,Aberdeen City,6315,2
S01000118,100,Aberdeen City,3273,11
S01000119,100,Aberdeen City,2242,15
S01000120,100,Aberdeen City,5886,4
S01000121,100,Aberdeen City,2712,13
S01000122,100,Aberdeen City,1899,17
S01000123,100,Aberdeen City,5754,4
S01000124,100,Aberdeen City,5194,5
S01000125,100,Aberdeen City,3537,10
S01000126,100,Aberdeen City,2170,16
S01000127,100,Aberdeen City,6386,2
S01000128,100,Aberdeen City,5153,5
S01000129,100,Aberdeen City,6424,2
S01000130,100,Aberdeen City,3532,10
S01000131,100,Aberdeen City,6152,3
S01000132,100,Aberdeen City,4825,6
S01000133,100,Aberdeen City,2171,16
S01000134,100,Aberdeen City,1460,20
S01000135,100,Aberdeen City,839,24
S01000136,100,Aberdeen City,2235,15
S01000137,100,Aberdeen City,4103,8
S01000138,100,Aberdeen City,4947,6
S01000139,100,Aberdeen City,2469,14
S01000140,100,Aberdeen City,3430,10
S01000141,100,Aberdeen City,6054,3
S01000142,100,Aberdeen City,1044,23
S01000143,100,Aberdeen City,6459,1
S01000144,100,Aberdeen City,5118,6
S01000145,100,Aberdeen City,1411,20
S01000146,100,Aberdeen City,2206,15
S01000147,100,Aberdeen City,3545,10
S01000148,100,Aberdeen City,514,28
S01000149,100,Aberdeen City,4163,8
S01000150,100,Aberdeen City,2745,13
S01000151,100,Aberdeen City,1979,17
S01000152,100,Aberdeen City,3314,11
S01000153,100,Aberdeen City,3288,11
S01000154,100,Aberdeen City,2382,15
S01000155,100,Aberdeen City,1897,17
S01000156,100,Aberdeen City,3309,11
S01000157,100,Aberdeen City,1001,23
S01000158,100,Aberdeen City,2689,13
S01000159,100,Aberdeen City,6099,3
S01000160,100,Aberdeen City,2954,12
S01000161,100,Aberdeen City,6362,2
S01000162,100,Aberdeen City,2773,13
S01000163,100,Aberdeen City,1931,17
S01000164,100,Aberdeen City,4610,7
S01000165,100,Aberdeen City,967,23
S01000166,100,Aberdeen City,6174,3
S01000167,100,Aberdeen City,3086,12
S01000168,100,Aberdeen City,2423,14
S01000169,100,Aberdeen City,2739,13
S01000170,100,Aberdeen City,6020,3
S01000171,100,Aberdeen City,6200,3
S01000172,100,Aberdeen City,5264,5
S01000173,100,Aberdeen City,2431,14
S01000174,100,Aberdeen City,6487,1
S01000175,100,Aberdeen City,3024,12
S01000176,100,Aberdeen City,6091,3
S01000177,100,Aberdeen City,6168,3
S01000178,100,Aberdeen City,2505,14
S01000179,100,Aberdeen City,621,27
S01000180,100,Aberdeen City,2078,16
S01000181,100,Aberdeen City,1245,21
S01000182,100,Aberdeen City,2172,16
S01000183,100,Aberdeen City,2980,12
S01000184,100,Aberdeen City,5200,5
S01000185,100,Aberdeen City,1211,21
S01000186,100,Aberdeen City,3860,9
S01000187,100,Aberdeen City,2166,16
S01000188,100,Aberdeen City,3400,10
S01000189,100,Aberdeen City,1836,17
S01000190,100,Aberdeen City,1716,18
S01000191,100,Aberdeen City,5365,5
S01000192,100,Aberdeen City,2318,15
S01000193,100,Aberdeen City,1330,21
S01000194,100,Aberdeen City,1427,20
S01000195,100,Aberdeen City,625,26
S01000196,100,Aberdeen City,722,25
S01000197,100,Aberdeen City,2422,14
S01000198,100,Aberdeen City,903,24
S01000199,100,Aberdeen City,1276,21
S01000200,100,Aberdeen City,2381,15
S01000201,100,Aberdeen City,2121,16
S01000202,100,Aberdeen City,3974,9
S01000203,100,Aberdeen City,916,24
S01000204,100,Aberdeen City,1129,22
S01000205,100,Aberdeen City,4243,8
S01000206,100,Aberdeen City,3704,9
S01000207,100,Aberdeen City,914,24
S01000208,100,Aberdeen City,446,29
S01000209,100,Aberdeen City,983,23
S01000210,100,Aberdeen City,373,30
S01000211,100,Aberdeen City,1364,20
S01000212,100,Aberdeen City,3051,12
S01000213,100,Aberdeen City,1350,21
S01000214,100,Aberdeen City,3236,11
S01000215,100,Aberdeen City,5634,4
S01000216,100,Aberdeen City,5035,6
S01000217,100,Aberdeen City,689,26
S01000218,100,Aberdeen City,2024,16
S01000219,100,Aberdeen City,1491,20
S01000220,100,Aberdeen City,6393,2
S01000221,100,Aberdeen City,2125,16
S01000222,100,Aberdeen City,3762,9
S01000223,100,Aberdeen City,4356,7
S01000224,100,Aberdeen City,3286,11
S01000225,100,Aberdeen City,4015,8
S01000226,100,Aberdeen City,5667,4
S01000227,100,Aberdeen City,6417,2
S01000228,100,Aberdeen City,5161,5
S01000229,100,Aberdeen City,2778,13
S01000230,100,Aberdeen City,4737,6
S01000231,100,Aberdeen City,5956,4
S01000232,100,Aberdeen City,3225,11
S01000233,100,Aberdeen City,4009,8
S01000234,100,Aberdeen City,5929,4
S01000235,100,Aberdeen City,5812,4
S01000236,100,Aberdeen City,4292,8
S01000237,100,Aberdeen City,5598,4
S01000238,100,Aberdeen City,6456,1
S01000239,100,Aberdeen City,5816,4
S01000240,100,Aberdeen City,5180,5
S01000241,100,Aberdeen City,6438,2
S01000242,100,Aberdeen City,6441,2
S01000243,100,Aberdeen City,6370,2
S01000244,100,Aberdeen City,3916,9
S01000245,100,Aberdeen City,4543,7
S01000246,100,Aberdeen City,5864,4
S01000247,100,Aberdeen City,5793,4
S01000248,100,Aberdeen City,6120,3
S01000249,100,Aberdeen City,5524,5
S01000250,100,Aberdeen City,6197,3
S01000251,100,Aberdeen City,6309,2
S01000252,100,Aberdeen City,6202,3
S01000253,100,Aberdeen City,6481,1
S01000254,100,Aberdeen City,6395,2
S01000255,100,Aberdeen City,6046,3
S01000256,100,Aberdeen City,5437,5
S01000257,100,Aberdeen City,5301,5
S01000258,100,Aberdeen City,6349,2
S01000259,100,Aberdeen City,6364,2
S01000260,100,Aberdeen City,6383,2
S01000261,100,Aberdeen City,5528,5
S01000262,100,Aberdeen City,5702,4
S01000263,100,Aberdeen City,3344,11
S01000264,100,Aberdeen City,3705,9
S01000265,100,Aberdeen City,3791,9
S01000266,100,Aberdeen City,4950,6
S01000267,100,Aberdeen City,3598,10
S01000268,110,Aberdeenshire,3463,10
S01000269,110,Aberdeenshire,5562,5
S01000270,110,Aberdeenshire,4958,6
S01000271,110,Aberdeenshire,3631,10
S01000272,110,Aberdeenshire,5626,4
S01000273,110,Aberdeenshire,4452,7
S01000274,110,Aberdeenshire,4916,6
S01000275,110,Aberdeenshire,5465,5
S01000276,110,Aberdeenshire,6066,3
S01000277,110,Aberdeenshire,5242,5
S01000278,110,Aberdeenshire,3201,11
S01000279,110,Aberdeenshire,6107,3
S01000280,110,Aberdeenshire,5420,5
S01000281,110,Aberdeenshire,5117,6
S01000282,110,Aberdeenshire,5584,5
S01000283,110,Aberdeenshire,5721,4
S01000284,110,Aberdeenshire,6382,2
S01000285,110,Aberdeenshire,5817,4
S01000286,110,Aberdeenshire,3961,9
S01000287,110,Aberdeenshire,5905,4
S01000288,110,Aberdeenshire,6193,3
S01000289,110,Aberdeenshire,4593,7
S01000290,110,Aberdeenshire,2290,15
S01000291,110,Aberdeenshire,5444,5
S01000292,110,Aberdeenshire,5407,5
S01000293,110,Aberdeenshire,4868,6
S01000294,110,Aberdeenshire,6013,3
S01000295,110,Aberdeenshire,6122,3
S01000296,110,Aberdeenshire,5930,4
S01000297,110,Aberdeenshire,5052,6
S01000298,110,Aberdeenshire,5896,4
S01000299,110,Aberdeenshire,6297,2
S01000300,110,Aberdeenshire,6111,3
S01000301,110,Aberdeenshire,6036,3
S01000302,110,Aberdeenshire,6246,3
S01000303,110,Aberdeenshire,4788,6
S01000304,110,Aberdeenshire,6478,1
S01000305,110,Aberdeenshire,5312,5
S01000306,110,Aberdeenshire,6212,3
S01000307,110,Aberdeenshire,6072,3
S01000308,110,Aberdeenshire,6306,2
S01000309,110,Aberdeenshire,6114,3
S01000310,110,Aberdeenshire,6198,3
S01000311,110,Aberdeenshire,6154,3
S01000312,110,Aberdeenshire,5824,4
S01000313,110,Aberdeenshire,5660,4
S01000314,110,Aberdeenshire,5707,4
S01000315,110,Aberdeenshire,6304,2
S01000316,110,Aberdeenshire,3812,9
S01000317,110,Aberdeenshire,4864,6
S01000318,110,Aberdeenshire,6497,1
S01000319,110,Aberdeenshire,6413,2
S01000320,110,Aberdeenshire,6390,2
S01000321,110,Aberdeenshire,5940,4
S01000322,110,Aberdeenshire,6356,2
S01000323,110,Aberdeenshire,5294,5
S01000324,110,Aberdeenshire,6166,3
S01000325,110,Aberdeenshire,6223,3
S01000326,110,Aberdeenshire,4301,8
S01000327,110,Aberdeenshire,6334,2
S01000328,110,Aberdeenshire,5415,5
S01000329,110,Aberdeenshire,4177,8
S01000330,110,Aberdeenshire,6159,3
S01000331,110,Aberdeenshire,3454,10
S01000332,110,Aberdeenshire,5330,5
S01000333,110,Aberdeenshire,6406,2
S01000334,110,Aberdeenshire,5316,5
S01000335,110,Aberdeenshire,4980,6
S01000336,110,Aberdeenshire,5663,4
S01000337,110,Aberdeenshire,6037,3
S01000338,110,Aberdeenshire,4894,6
S01000339,110,Aberdeenshire,6047,3
S01000340,110,Aberdeenshire,6266,3
S01000341,110,Aberdeenshire,5671,4
S01000342,110,Aberdeenshire,3275,11
S01000343,110,Aberdeenshire,6410,2
S01000344,110,Aberdeenshire,5749,4
S01000345,110,Aberdeenshire,6077,3
S01000346,110,Aberdeenshire,5616,4
S01000347,110,Aberdeenshire,6401,2
S01000348,110,Aberdeenshire,6269,3
S01000349,110,Aberdeenshire,6018,3
S01000350,110,Aberdeenshire,6206,3
S01000351,110,Aberdeenshire,6351,2
S01000352,110,Aberdeenshire,6407,2
S01000353,110,Aberdeenshire,6427,2
S01000354,110,Aberdeenshire,5424,5
S01000355,110,Aberdeenshire,6337,2
S01000356,110,Aberdeenshire,6352,2
S01000357,110,Aberdeenshire,6285,3
S01000358,110,Aberdeenshire,6224,3
S01000359,110,Aberdeenshire,6491,1
S01000360,110,Aberdeenshire,5215,5
S01000361,110,Aberdeenshire,6288,3
S01000362,110,Aberdeenshire,6272,3
S01000363,110,Aberdeenshire,6375,2
S01000364,110,Aberdeenshire,6097,3
S01000365,110,Aberdeenshire,5915,4
S01000366,110,Aberdeenshire,6169,3
S01000367,110,Aberdeenshire,6222,3
S01000368,110,Aberdeenshire,5092,6
S01000369,110,Aberdeenshire,5549,5
S01000370,110,Aberdeenshire,6158,3
S01000371,110,Aberdeenshire,5114,6
S01000372,110,Aberdeenshire,4627,7
S01000373,110,Aberdeenshire,6167,3
S01000374,110,Aberdeenshire,5863,4
S01000375,110,Aberdeenshire,3401,10
S01000376,110,Aberdeenshire,3443,10
S01000377,110,Aberdeenshire,6207,3
S01000378,110,Aberdeenshire,5354,5
S01000379,110,Aberdeenshire,6366,2
S01000380,110,Aberdeenshire,6253,3
S01000381,110,Aberdeenshire,6343,2
S01000382,110,Aberdeenshire,5891,4
S01000383,110,Aberdeenshire,5393,5
S01000384,110,Aberdeenshire,4134,8
S01000385,110,Aberdeenshire,4887,6
S01000386,110,Aberdeenshire,5533,5
S01000387,110,Aberdeenshire,5992,3
S01000388,110,Aberdeenshire,6376,2
S01000389,110,Aberdeenshire,6280,3
S01000390,110,Aberdeenshire,3109,11
S01000391,110,Aberdeenshire,5208,5
S01000392,110,Aberdeenshire,6480,1
S01000393,110,Aberdeenshire,3934,9
S01000394,110,Aberdeenshire,4159,8
S01000395,110,Aberdeenshire,5730,4
S01000396,110,Aberdeenshire,2554,14
S01000397,110,Aberdeenshire,4264,8
S01000398,110,Aberdeenshire,6421,2
S01000399,110,Aberdeenshire,3877,9
S01000400,110,Aberdeenshire,4328,8
S01000401,110,Aberdeenshire,6185,3
S01000402,110,Aberdeenshire,4661,7
S01000403,110,Aberdeenshire,5188,5
S01000404,110,Aberdeenshire,5665,4
S01000405,110,Aberdeenshire,6431,2
S01000406,110,Aberdeenshire,3686,9
S01000407,110,Aberdeenshire,4378,7
S01000408,110,Aberdeenshire,6433,2
S01000409,110,Aberdeenshire,5645,4
S01000410,110,Aberdeenshire,6490,1
S01000411,110,Aberdeenshire,6331,2
S01000412,110,Aberdeenshire,5380,5
S01000413,110,Aberdeenshire,5302,5
S01000414,110,Aberdeenshire,6261,3
S01000415,110,Aberdeenshire,5240,5
S01000416,110,Aberdeenshire,6277,3
S01000417,110,Aberdeenshire,6033,3
S01000418,110,Aberdeenshire,5647,4
S01000419,110,Aberdeenshire,5968,4
S01000420,110,Aberdeenshire,5187,5
S01000421,110,Aberdeenshire,6096,3
S01000422,110,Aberdeenshire,4634,7
S01000423,110,Aberdeenshire,6457,1
S01000424,110,Aberdeenshire,4986,6
S01000425,110,Aberdeenshire,4497,7
S01000426,110,Aberdeenshire,6293,2
S01000427,110,Aberdeenshire,5320,5
S01000428,110,Aberdeenshire,5543,5
S01000429,110,Aberdeenshire,5767,4
S01000430,110,Aberdeenshire,5154,5
S01000431,110,Aberdeenshire,2360,15
S01000432,110,Aberdeenshire,5814,4
S01000433,110,Aberdeenshire,4363,7
S01000434,110,Aberdeenshire,3179,11
S01000435,110,Aberdeenshire,5825,4
S01000436,110,Aberdeenshire,6462,1
S01000437,110,Aberdeenshire,5432,5
S01000438,110,Aberdeenshire,6422,2
S01000439,110,Aberdeenshire,5727,4
S01000440,110,Aberdeenshire,5831,4
S01000441,110,Aberdeenshire,3337,11
S01000442,110,Aberdeenshire,5770,4
S01000443,110,Aberdeenshire,6247,3
S01000444,110,Aberdeenshire,6204,3
S01000445,110,Aberdeenshire,5209,5
S01000446,110,Aberdeenshire,6243,3
S01000447,110,Aberdeenshire,5678,4
S01000448,110,Aberdeenshire,6090,3
S01000449,110,Aberdeenshire,3903,9
S01000450,110,Aberdeenshire,4645,7
S01000451,110,Aberdeenshire,5126,5
S01000452,110,Aberdeenshire,3690,9
S01000453,110,Aberdeenshire,6051,3
S01000454,110,Aberdeenshire,4107,8
S01000455,110,Aberdeenshire,3577,10
S01000456,110,Aberdeenshire,5371,5
S01000457,110,Aberdeenshire,5467,5
S01000458,110,Aberdeenshire,6252,3
S01000459,110,Aberdeenshire,3108,11
S01000460,110,Aberdeenshire,2638,13
S01000461,110,Aberdeenshire,2920,12
S01000462,110,Aberdeenshire,3056,12
S01000463,110,Aberdeenshire,2992,12
S01000464,110,Aberdeenshire,4869,6
S01000465,110,Aberdeenshire,6125,3
S01000466,110,Aberdeenshire,5116,6
S01000467,110,Aberdeenshire,2721,13
S01000468,110,Aberdeenshire,5513,5
S01000469,110,Aberdeenshire,6227,3
S01000470,110,Aberdeenshire,5894,4
S01000471,110,Aberdeenshire,6028,3
S01000472,110,Aberdeenshire,3742,9
S01000473,110,Aberdeenshire,3018,12
S01000474,110,Aberdeenshire,5004,6
S01000475,110,Aberdeenshire,4125,8
S01000476,110,Aberdeenshire,4290,8
S01000477,110,Aberdeenshire,4038,8
S01000478,110,Aberdeenshire,2492,14
S01000479,110,Aberdeenshire,2375,15
S01000480,110,Aberdeenshire,4800,6
S01000481,110,Aberdeenshire,4688,7
S01000482,110,Aberdeenshire,1558,19
S01000483,110,Aberdeenshire,1976,17
S01000484,110,Aberdeenshire,2527,14
S01000485,110,Aberdeenshire,5925,4
S01000486,110,Aberdeenshire,607,27
S01000487,110,Aberdeenshire,3630,10
S01000488,110,Aberdeenshire,2443,14
S01000489,110,Aberdeenshire,862,24
S01000490,110,Aberdeenshire,6100,3
S01000491,110,Aberdeenshire,1083,22
S01000492,110,Aberdeenshire,2838,13
S01000493,110,Aberdeenshire,3792,9
S01000494,110,Aberdeenshire,1914,17
S01000495,110,Aberdeenshire,4456,7
S01000496,110,Aberdeenshire,6165,3
S01000497,110,Aberdeenshire,3965,9
S01000498,110,Aberdeenshire,4786,6
S01000499,110,Aberdeenshire,4650,7
S01000500,110,Aberdeenshire,3041,12
S01000501,110,Aberdeenshire,3350,11
S01000502,110,Aberdeenshire,4354,7
S01000503,110,Aberdeenshire,4056,8
S01000504,110,Aberdeenshire,4865,6
S01000505,110,Aberdeenshire,4519,7
S01000506,110,Aberdeenshire,6135,3
S01000507,110,Aberdeenshire,3858,9
S01000508,110,Aberdeenshire,5361,5
S01000509,110,Aberdeenshire,3979,9
S01000510,110,Aberdeenshire,3553,10
S01000511,110,Aberdeenshire,5459,5
S01000512,110,Aberdeenshire,5691,4
S01000513,110,Aberdeenshire,3090,12
S01000514,110,Aberdeenshire,3629,10
S01000515,110,Aberdeenshire,4759,6
S01000516,110,Aberdeenshire,4223,8
S01000517,110,Aberdeenshire,4827,6
S01000518,110,Aberdeenshire,3416,10
S01000519,110,Aberdeenshire,4905,6
S01000520,110,Aberdeenshire,4069,8
S01000521,110,Aberdeenshire,2444,14
S01000522,110,Aberdeenshire,5105,6
S01000523,110,Aberdeenshire,2538,14
S01000524,110,Aberdeenshire,4196,8
S01000525,110,Aberdeenshire,4232,8
S01000526,110,Aberdeenshire,4745,6
S01000527,110,Aberdeenshire,4350,7
S01000528,110,Aberdeenshire,4023,8
S01000529,110,Aberdeenshire,3504,10
S01000530,110,Aberdeenshire,4513,7
S01000531,110,Aberdeenshire,3050,12
S01000532,110,Aberdeenshire,2383,15
S01000533,110,Aberdeenshire,3004,12
S01000534,110,Aberdeenshire,2534,14
S01000535,110,Aberdeenshire,3060,12
S01000536,110,Aberdeenshire,4708,6
S01000537,110,Aberdeenshire,4118,8
S01000538,110,Aberdeenshire,3456,10
S01000539,110,Aberdeenshire,1340,21
S01000540,110,Aberdeenshire,2883,12
S01000541,110,Aberdeenshire,2904,12
S01000542,110,Aberdeenshire,3793,9
S01000543,110,Aberdeenshire,4334,8
S01000544,110,Aberdeenshire,3839,9
S01000545,110,Aberdeenshire,2101,16
S01000546,110,Aberdeenshire,2466,14
S01000547,110,Aberdeenshire,3637,10
S01000548,110,Aberdeenshire,3379,10
S01000549,110,Aberdeenshire,4900,6
S01000550,110,Aberdeenshire,6052,3
S01000551,110,Aberdeenshire,4161,8
S01000552,110,Aberdeenshire,4824,6
S01000553,110,Aberdeenshire,4310,8
S01000554,110,Aberdeenshire,1995,16
S01000555,110,Aberdeenshire,3026,12
S01000556,110,Aberdeenshire,2520,14
S01000557,110,Aberdeenshire,3559,10
S01000558,110,Aberdeenshire,4415,7
S01000559,110,Aberdeenshire,1981,17
S01000560,110,Aberdeenshire,1853,17
S01000561,110,Aberdeenshire,2990,12
S01000562,110,Aberdeenshire,1794,18
S01000563,110,Aberdeenshire,875,24
S01000564,110,Aberdeenshire,773,25
S01000565,110,Aberdeenshire,2733,13
S01000566,110,Aberdeenshire,2425,14
S01000567,110,Aberdeenshire,1485,20
S01000568,110,Aberdeenshire,4438,7
S01000569,120,Angus,4698,7
S01000570,120,Angus,3882,9
S01000571,120,Angus,2889,12
S01000572,120,Angus,4783,6
S01000573,120,Angus,5701,4
S01000574,120,Angus,5369,5
S01000575,120,Angus,5189,5
S01000576,120,Angus,4582,7
S01000577,120,Angus,4464,7
S01000578,120,Angus,5048,6
S01000579,120,Angus,5653,4
S01000580,120,Angus,6242,3
S01000581,120,Angus,5838,4
S01000582,120,Angus,3583,10
S01000583,120,Angus,4820,6
S01000584,120,Angus,2042,16
S01000585,120,Angus,3249,11
S01000586,120,Angus,3863,9
S01000587,120,Angus,2700,13
S01000588,120,Angus,4547,7
S01000589,120,Angus,5284,5
S01000590,120,Angus,5370,5
S01000591,120,Angus,5150,5
S01000592,120,Angus,4270,8
S01000593,120,Angus,4690,7
S01000594,120,Angus,4667,7
S01000595,120,Angus,4972,6
S01000596,120,Angus,5341,5
S01000597,120,Angus,5822,4
S01000598,120,Angus,5498,5
S01000599,120,Angus,4798,6
S01000600,120,Angus,4440,7
S01000601,120,Angus,5086,6
S01000602,120,Angus,3565,10
S01000603,120,Angus,4892,6
S01000604,120,Angus,5581,5
S01000605,120,Angus,4641,7
S01000606,120,Angus,1250,21
S01000607,120,Angus,3209,11
S01000608,120,Angus,1203,22
S01000609,120,Angus,700,26
S01000610,120,Angus,1283,21
S01000611,120,Angus,752,25
S01000612,120,Angus,1365,20
S01000613,120,Angus,3300,11
S01000614,120,Angus,3502,10
S01000615,120,Angus,1550,19
S01000616,120,Angus,5018,6
S01000617,120,Angus,4019,8
S01000618,120,Angus,3039,12
S01000619,120,Angus,4007,8
S01000620,120,Angus,550,28
S01000621,120,Angus,2879,12
S01000622,120,Angus,1590,19
S01000623,120,Angus,1784,18
S01000624,120,Angus,2486,14
S01000625,120,Angus,888,24
S01000626,120,Angus,635,26
S01000627,120,Angus,2868,12
S01000628,120,Angus,1923,17
S01000629,120,Angus,4263,8
S01000630,120,Angus,2299,15
S01000631,120,Angus,1311,21
S01000632,120,Angus,3741,9
S01000633,120,Angus,5481,5
S01000634,120,Angus,1465,20
S01000635,120,Angus,2693,13
S01000636,120,Angus,4419,7
S01000637,120,Angus,4244,8
S01000638,120,Angus,4940,6
S01000639,120,Angus,4652,7
S01000640,120,Angus,4124,8
S01000641,120,Angus,4791,6
S01000642,120,Angus,4386,7
S01000643,120,Angus,4968,6
S01000644,120,Angus,4282,8
S01000645,120,Angus,3503,10
S01000646,120,Angus,4886,6
S01000647,120,Angus,3684,9
S01000648,120,Angus,1038,23
S01000649,120,Angus,4222,8
S01000650,120,Angus,2885,12
S01000651,120,Angus,2177,16
S01000652,120,Angus,4119,8
S01000653,120,Angus,1991,17
S01000654,120,Angus,2294,15
S01000655,120,Angus,1167,22
S01000656,120,Angus,2880,12
S01000657,120,Angus,1307,21
S01000658,120,Angus,1591,19
S01000659,120,Angus,4389,7
S01000660,120,Angus,5650,4
S01000661,120,Angus,3166,11
S01000662,120,Angus,3920,9
S01000663,120,Angus,4153,8
S01000664,120,Angus,3848,9
S01000665,120,Angus,4859,6
S01000666,120,Angus,3836,9
S01000667,120,Angus,3900,9
S01000668,120,Angus,1891,17
S01000669,120,Angus,2044,16
S01000670,120,Angus,3578,10
S01000671,120,Angus,3859,9
S01000672,120,Angus,3372,10
S01000673,120,Angus,5333,5
S01000674,120,Angus,4347,7
S01000675,120,Angus,6041,3
S01000676,120,Angus,4437,7
S01000677,120,Angus,2267,15
S01000678,120,Angus,4306,8
S01000679,120,Angus,2348,15
S01000680,120,Angus,1322,21
S01000681,120,Angus,1688,18
S01000682,120,Angus,2882,12
S01000683,120,Angus,3908,9
S01000684,120,Angus,1265,21
S01000685,120,Angus,3585,10
S01000686,120,Angus,2617,14
S01000687,120,Angus,1592,19
S01000688,120,Angus,4032,8
S01000689,120,Angus,3092,12
S01000690,120,Angus,4993,6
S01000691,120,Angus,2604,14
S01000692,120,Angus,1414,20
S01000693,120,Angus,1284,21
S01000694,120,Angus,2960,12
S01000695,120,Angus,3370,11
S01000696,120,Angus,2551,14
S01000697,120,Angus,5104,6
S01000698,120,Angus,3393,10
S01000699,120,Angus,3590,10
S01000700,120,Angus,3824,9
S01000701,120,Angus,5694,4
S01000702,120,Angus,6057,3
S01000703,120,Angus,3460,10
S01000704,120,Angus,5408,5
S01000705,120,Angus,5112,6
S01000706,120,Angus,5718,4
S01000707,120,Angus,5136,5
S01000708,120,Angus,5384,5
S01000709,120,Angus,4726,6
S01000710,120,Angus,5053,6
S01000711,130,Argyll & Bute,4220,8
S01000712,130,Argyll & Bute,3927,9
